hostel, dormitory	りょう
anxiety	しんぱい
to get angry	おこる
worry	ふあん
emberrassing, shy (ciki)	はずかしい
scary	こわり
sad	かなしい
happy, glad	うれしい
shelf	たな
to be seen	みえる
disorderly	めちゃめちゃ
weather report	てんいよほう
It's cold the whole week.	こんしゅうは ずっと さむいです。
I think it's a dog.	いぬだとおもいます。
I hope it's a dog.	いぬだといいです。
I left the map at home, that's why I got lost a bit.	ちずを わすれて、ちょっと まよいました。	deck#11	due@2024-01-29 01:00:00
I got lost, that's why I'm late.	みちに まよってしまって、 おくれました。	deck#11	due@2024-01-29 01:00:00
My younger brother ate my chocklate.	おとうと が わたし の チョコレートを たべてしまいました。	deck#11	due@2024-01-29 01:00:00
I will write the report till tomorrow.	あしたまでに レポートを かいてしまいます。	deck#11	due@2024-01-29 01:00:00
I finished that book in two days.	そのほん を ふつか で よんでしまいました。	deck#11	due@2024-01-29 01:00:00
Both the guitar and the singing were really good.	ギターもうたも、 どちらも すごくよかったです。	deck#11	due@2024-01-29 01:00:00
I'm sure there will be something good tomorrow.	あした いいこと が あるでしょう。 / あるだろう。	deck#11	due@2024-01-29 01:00:00
The concert starts at 7, I'm sure we will make it in time.	ライブ は 7じからですから、まだ まにあうでしょう。	deck#11	due@2024-01-29 01:00:00
hard, tough	たいへん	deck#9	due@2024-01-27 01:00:00
the curry made by me	わたしがつくったカレー	deck#12	due@2024-02-20 01:00:00
man wearing jeans	ジーンズをはいているひと	deck#12	due@2024-02-20 01:00:00
man with nice eyes	めがきれいなひと	deck#12	due@2024-02-20 01:00:00
tall man	せがたかいひと	deck#12	due@2024-02-20 01:00:00
It is Janos who is tall and wearing glasses.	ヤーノシュさんは、 せがたかくて、 めがねをかけているひとです。	deck#12	due@2024-02-20 01:00:00
I like nice and funny people.	やさしくておもしろいひとがすきです。	deck#12	due@2024-02-20 01:00:00
What kind of people do you like?	どんあひとがすきですか。	deck#12	due@2024-02-20 01:00:00
I'm learning japanese in school.	がっこうでにほんごのべんきょうをしています。	deck#12	due@2024-02-20 01:00:00
Tanaka wears glasses.	たなかさんはめがねをかけています。	deck#12	due@2024-02-20 01:00:00
Balazs is wearing a blue shirt.	バラージュさんはあおいシャツをきています。	deck#12	due@2024-02-20 01:00:00
I'm talking on the phone (at the moment).	でんわではなしています。	deck#12	due@2024-02-20 01:00:00
What are you doing at the moment?	いま、 なにおしていますか。	deck#12	due@2024-02-20 01:00:00
Are you going to do laundry today?	きょうせんたくおしますか。	deck#12	due@2024-02-20 01:00:00
I do all sorts of chores.	いろいろなかじおします。	deck#12	due@2024-02-20 01:00:00
chores	かじ	deck#12	due@2024-02-20 01:00:00
unfortunately	あいにく	deck#4	due@2024-01-23 01:00:00
I have a headache and I also feel bad.	あたまがいたくて、 きぶんもわるいんです。	deck#12	due@2024-02-16 01:00:00
feeling, mood	きぶん	deck#11	due@2024-01-29 01:00:00
painful, sore	いたい	deck#12	due@2024-02-16 01:00:00
What happened?	どうしたんですか。	deck#11	due@2024-02-05 01:00:00
to take (photograph)	とる, 撮る	deck#8	due@2024-01-27 01:00:00
Do not take photographs here.	ここで しゃしん を とらないでください。	deck#12	due@2024-02-16 01:00:00
It would be better if the present isn't a flower.	プレセント は はなじゃない ほうが いいです。	deck#12	due@2024-02-16 01:00:00
It would be better if the present wouldn't be expensive.	おみやげは たかくない ほうが いいです。	deck#12	due@2024-02-16 01:00:00
It would be better if you wouldn't go to the bath today.	きょうは おふろに はいらない ほうが いいです。	deck#12	due@2024-02-16 01:00:00
You had better go to the hospital.	びょいんに いった ほうが いいです。	deck#12	due@2024-02-16 01:00:00
to put, to place	おく	deck#12	due@2024-02-16 01:00:00
maybe	かもしれません、 かもしれない	deck#12	due@2024-02-14 01:00:00
dirty	きたない	deck#12	due@2024-02-14 01:00:00
at that time	そのころ	deck#12	due@2024-02-14 01:00:00
At that time it might still be a bit cold.	そのころは、 まだ ちょっと さむい かもしれません。 / かもしれない。	deck#12	due@2024-02-14 01:00:00
Try to read this book.	このほん を よんでみてください。	deck#12	due@2024-02-14 01:00:00
I try the B menu.	わたし は Bランチ を たべてみます。	deck#12	due@2024-02-14 01:00:00
to push, to press	おす	deck#12	due@2024-02-14 01:00:00
to insert, to put in	いれる	deck#11	due@2024-01-27 01:00:00
After you insert the coin press this button.	ここに おかね を いれてから、 この ボタン を おしてください。	deck#12	due@2024-02-14 01:00:00
to wait	まつ	deck#12	due@2024-02-14 01:00:00
Wait a bit.	ちょっとまってください。	deck#12	due@2024-02-14 01:00:00
Which sport do you like the most?	スポーツ (のなか) でなにがいちばん すきですか。	deck#12	due@2024-02-14 01:00:00
From curry, ramen and sushi which do you like the most?	カレーとラーメンとすし でどれがいちばん すきですか。	deck#12	due@2024-02-14 01:00:00
The canteen is the cheapest.	がくしょく が いちばん やすいです。	deck#12	due@2024-02-14 01:00:00
Have to eat.	たべな ければ ならない。	deck#12	due@2024-02-14 01:00:00
olden days	むかし	deck#12	due@2024-02-14 01:00:00
strict	きびしい	deck#12	due@2024-02-14 01:00:00
same, identical 2	いっしょ	deck#12	due@2024-02-14 01:00:00
